columnApiName,Description
Customer_Classification__c,Customer classification or status for the account (text; observed value Pending)
DBA_Approved__c,Flag indicating whether the account has been approved for DBA (Doing Business As) usage (boolean)
Description,Free-text description field for the account (long text; observed values include company profile or marketing descriptions)
DIRECTV_Via_Satellite_Restriction__c,Flag indicating whether the account has a restriction related to DIRECTV via satellite services (boolean)
Division__c,Division associated with the account (text; often empty)
DOM_Wire_Complete__c,Flag indicating whether DOM wire completion has occurred for the account (boolean)
Do_Not_Email__pc,Flag indicating whether the account should not receive email communications (boolean)
DTV_Communication_Consent__c,Flag indicating whether the account has consented to DIRECTV-related communications (boolean)
DTV_MSOC__c,Flag indicating whether the account is associated with a DIRECTV MSOC configuration or status (boolean)
DTV_MSOS__c,Flag indicating whether the account is associated with a DIRECTV MSOS configuration or status (boolean)
Exede_FFL__c,Flag indicating whether the account is associated with Exede FFL (Fixed/Federal Level or program-specific indicator) (boolean)
Fortza_Auto_Pay__c,Flag indicating whether Fortza auto-pay is enabled for the account (boolean)
Fortza_Auto_Pay__pc,Flag indicating whether Fortza auto-pay preference is enabled at the person/account contact level (boolean)
Frontier_Activated__c,Flag indicating whether Frontier services are activated for the account (boolean)
Frontier_National_Agent_Agreements__c,Count of national agent agreements associated with the account for Frontier (numeric count, observed as 0)
Frontier_Nation_Retail_Agreements__c,Count of national retail agreements associated with the account for Frontier (numeric count, observed as 0)
Frontier_Only__c,Flag indicating whether the account is exclusively associated with Frontier services (boolean)
Frontier_Vendor_Count__c,Count of Frontier vendors associated with the account (numeric count, observed as 0)
Frontier_Video__c,Flag indicating whether Frontier video services are associated with the account (boolean)
FSL_Member__pc,Flag indicating whether the account or related person is a member of FSL (boolean)
Home_Concierge_Enabled__c,Flag indicating whether home concierge services are enabled for the account (boolean)
Home_Page_Limited_View__c,Flag indicating whether the account has a limited view enabled on the home page (boolean)
Id,Unique Salesforce identifier for the account record
Include_in_Scheduling_Optimization__pc,Flag indicating whether the account is included in scheduling optimization logic (boolean)
Industry,Industry classification associated with the account (text; e.g., Manufacturing, Media, Technology)
IsCustomerPortal,Flag indicating whether the account is enabled for customer portal access (boolean)
IsDeleted,Flag indicating whether the account record is marked as deleted in Salesforce (boolean)
IsPartner,Flag indicating whether the account is classified as a partner account (boolean)
IsPersonAccount,Flag indicating whether the account is a person account rather than a business account (boolean)
IsPriorityRecord,Flag indicating whether the account is marked as a priority record (boolean)
LastActivityDate,Date of the most recent activity associated with the account (date)
LastModifiedById,Salesforce ID of the user or system that last modified the account record
LastModifiedDate,Date and time when the account record was last modified (UTC timestamp)
LearnUponP__Create_in_LearnUpon__pc,Flag indicating whether the account should be created or synced in the LearnUpon system (boolean)
Liftgate_Required__c,Flag indicating whether liftgate service is required for the account (boolean)
MFA__c,Multi-factor authentication method or requirement associated with the account (text; observed value Email)
My_Dealer_Flag__pc,Flag indicating whether the account is flagged as a dealer account (boolean)
NDA_Activated_Count__c,Count of activated non-disclosure agreements associated with the account (numeric count, observed as 0)
NumberOfEmployees,Number of employees associated with the account (numeric; observed values include 680, 14668)
Number_of_Contacts__c,Number of contact records associated with the account (numeric count)
Onboarding_Denied__c,Count of onboarding denial events associated with the account (numeric count, observed as 0)
Onboarding_Status__c,Current onboarding status indicator for the account (numeric or coded status value, observed as 0)
On_Probation__c,Flag indicating whether the account is currently on probation status (boolean)
Optimum_Only__c,Flag indicating whether the account is exclusively associated with Optimum services (boolean)
OwnerId,Salesforce ID of the user who owns the account record
Owner__pc,Flag indicating ownership status or preference at the person/account contact level (boolean)
P10_Invoice_Account__c,Identifier or code for the P10 invoice account associated with the account (text; observed value NAMCC)
PersonDoNotCall,Flag indicating whether the associated person/contact should not be called (boolean)
PersonHasOptedOutOfEmail,Flag indicating whether the associated person/contact has opted out of email communications (boolean)
PersonHasOptedOutOfFax,Flag indicating whether the associated person/contact has opted out of fax communications (boolean)
Phone,Primary phone number associated with the account (text; observed formatted phone numbers)
pi__Needs_Score_Synced__pc,Flag indicating whether a score synchronization is required for the account/person record (boolean)
pi_pardot_hard_bounced__pc,Flag indicating whether the associated Pardot email address has hard bounced (boolean)
POE_Active_In_SF__c,Flag indicating whether the POE entity is active in Salesforce (boolean)
POE_Allow_DTV_Sell__pc,Flag indicating whether the POE entity is allowed to sell DIRECTV products (boolean)
POE_Belongs_To_Partner__pc,Flag indicating whether the POE entity belongs to a partner organization (boolean)
POE_Blacklist__pc,Flag indicating whether the POE entity is blacklisted (boolean)
POE_Charter_Confirmation__pc,Flag indicating whether charter confirmation has been completed for the POE entity (boolean)
POE_Dealer_Office_Email__c,Dealer office email address associated with the POE entity (text; observed email values)
POE_Enable_Trial_Period__pc,Flag indicating whether a trial period is enabled for the POE entity (boolean)
POE_Espanol_Package__c,Flag indicating whether the Spanish package is enabled for the POE entity (boolean)
POE_Existing_Agent_Flag__pc,Flag indicating whether the POE entity is marked as an existing agent (boolean)
POE_FSL_Dates_Enabled__c,Flag indicating whether FSL dates are enabled for the POE entity (boolean)
POE_ICL_Owner__c,Salesforce ID of the ICL owner associated with the POE entity
POE_isTmobileAllowed__pc,Flag indicating whether T-Mobile offerings are allowed for the POE entity (boolean)
POE_Point_Of_Contact__pc,Flag indicating whether the record is marked as a point of contact for the POE entity (boolean)
POE_Programs_available__c,List of programs available to the POE entity (text; observed comma-separated values such as EarthLink, Frontier, Windstream, Altice, Spectrum API, Brightspeed)
POE_Require_TPV__c,Flag indicating whether third-party verification (TPV) is required for the POE entity (boolean)
POE_SMS_Opt_In__pc,Flag indicating whether the POE entity has opted in to SMS communications (boolean)
POE_WS_Email__pc,Flag indicating whether web service or system email communications are enabled for the POE entity (boolean)
Principal_Owner_Changed__c,Flag indicating whether the principal owner has changed for the account (boolean)
Principal_Owner__pc,Flag indicating whether the record represents the principal owner for the account (boolean)
ProgramBase_Activated_Count__c,Count of activated program base records associated with the account (numeric count, observed as 0)
RecordTypeId,Salesforce record type identifier associated with the account
Region__c,Region classification associated with the account (text; observed value D2D)
salesintelio_Attempted_Enrichment__c,Flag indicating whether SalesIntel enrichment was attempted for the account (boolean)
salesintelio_Attempted_Enrichment__pc,Flag indicating whether SalesIntel enrichment was attempted at the person/contact level (boolean)
salesintelio_SalesIntel_Changed_Job__pc,Flag indicating whether SalesIntel detected a job change for the associated person/contact (boolean)
salesintelio_SalesIntel_Enriched__c,Flag indicating whether the account record has been enriched using SalesIntel data (boolean)
salesintelio_SalesIntel_Enriched__pc,Flag indicating whether the person/contact record has been enriched using SalesIntel data (boolean)
salesintelio_SalesIntel_Exported__c,Flag indicating whether the account record has been exported to SalesIntel (boolean)
salesintelio_SalesIntel_Exported__pc,Flag indicating whether the person/contact record has been exported to SalesIntel (boolean)
salesintelio_SalesIntel_Machine_Verified__c,Flag indicating whether the account data has been machine-verified by SalesIntel (boolean)
salesintelio_SalesIntel_Machine_Verified__pc,Flag indicating whether the person/contact data has been machine-verified by SalesIntel (boolean)
salesintelio_SalesIntel_Up_to_Date__c,Flag indicating whether the account data is considered up to date by SalesIntel (boolean)
salesintelio_SalesIntel_Up_to_Date__pc,Flag indicating whether the person/contact data is considered up to date by SalesIntel (boolean)
Self_Install_Allowed__c,Flag indicating whether self-installation is allowed for the account (boolean)
ShippingCity,Shipping city associated with the account address (text)
ShippingCountry,Shipping country associated with the account address (text)
ShippingCountryCode,ISO or short country code for the shipping country (text; e.g., US, CA)
ShippingPostalCode,Shipping postal or ZIP code associated with the account address (text; numeric/alphanumeric)
ShippingState,Shipping state or province associated with the shipping address (text)
ShippingStateCode,State or province code associated with the shipping address (text; e.g., NY, ON, CA)
ShippingStreet,Street address portion of the shipping address (text)
Show_Frontier_Onboarding__c,Indicator or count used to determine whether Frontier onboarding should be shown (numeric; observed as 0)
Signature_Required__c,Flag indicating whether a signature is required for deliveries or agreements (boolean)
SMS_Opt_Out__pc,Flag indicating whether the associated person/contact has opted out of SMS communications (boolean)
Spectrum_Only__c,Flag indicating whether the account is exclusively associated with Spectrum services (boolean)
SR_Resource__pc,Flag indicating whether the associated person/contact is marked as an SR resource (boolean)
SystemModstamp,System timestamp representing the last system modification to the account record
Territory__c,Sales or operational territory associated with the account (text; observed values include DCE)
Type,Account type classification (text; observed values include Prospect, Customer)
Under_Contract__pc,Flag indicating whether the account is currently under contract (boolean)
Update_Territories__c,Flag indicating whether territory updates are required or enabled for the account (boolean)
vlocity_cmt__Authorized__pc,Flag indicating whether the account or associated person is authorized in the Vlocity/CMT context (boolean)
vlocity_cmt__DaysSinceLastContact__pc,Number of days since the last contact interaction in the Vlocity/CMT context (numeric; observed as 0)
vlocity_cmt__DirectoryListed__c,Flag indicating whether the account is listed in a directory within the Vlocity/CMT system (boolean)
vlocity_cmt__Disclosure1__c,Flag indicating whether disclosure requirement 1 has been completed in the Vlocity/CMT context (boolean)
vlocity_cmt__Disclosure2__c,Flag indicating whether disclosure requirement 2 has been completed in the Vlocity/CMT context (boolean)
vlocity_cmt__Disclosure3__c,Flag indicating whether disclosure requirement 3 has been completed in the Vlocity/CMT context (boolean)
vlocity_cmt__EnableAutopay__c,Flag indicating whether autopay is enabled in the Vlocity/CMT context (boolean)
vlocity_cmt__HasFraud__c,Flag indicating whether fraud has been detected or flagged in the Vlocity/CMT context (boolean)
vlocity_cmt__HasFraud__pc,Flag indicating whether fraud has been detected or flagged for the associated person/contact in the Vlocity/CMT context (boolean)
vlocity_cmt__IsActive__pc,Flag indicating whether the account or associated person is active in the Vlocity/CMT context (boolean)
vlocity_cmt__IsEmployee__pc,Flag indicating whether the associated person is marked as an employee in the Vlocity/CMT context (boolean)
vlocity_cmt__IsPartner__pc,Flag indicating whether the associated person/account is classified as a partner in the Vlocity/CMT context (boolean)
vlocity_cmt__IsPersonAccount__c,Flag indicating whether the account is a person account in the Vlocity/CMT context (boolean)
vlocity_cmt__IsPersonAccount__pc,Flag indicating whether the associated person record is a person account in the Vlocity/CMT context (boolean)
vlocity_cmt__IsRootResolved__c,Flag indicating whether the root entity has been resolved in the Vlocity/CMT context (boolean)
Website,Website URL associated with the account (text; observed values include http://www.salesforce.com)
Windstream_Activated__c,Flag indicating whether Windstream services are activated for the account (boolean)
X3rd_Party__c,Flag indicating whether the account is associated with a third-party entity or integration (boolean)
