columnApiName,Description
vlocity_cmt__EffectiveRecurringTotal__c,Custom numeric field representing the effective total of recurring charges under Vlocity/CMT context
vlocity_cmt__EffectiveUsageCostTotal__c,Custom numeric field representing the effective total of usage-based costs under Vlocity/CMT context
vlocity_cmt__EffectiveUsagePriceTotal__c,Custom numeric field representing the effective total price of usage-based charges under Vlocity/CMT context
vlocity_cmt__IsContractRequired__c,Custom boolean field indicating whether a contract is required under Vlocity/CMT context
vlocity_cmt__OneTimeLoyaltyTotal__c,Custom numeric field representing the total of one-time loyalty-related amounts under Vlocity/CMT context
vlocity_cmt__OneTimeMarginTotal__c,Custom numeric field representing the total margin calculated for one-time charges under Vlocity/CMT context
vlocity_cmt__OneTimeTotal__c,Custom numeric field representing the total of one-time charges under Vlocity/CMT context
vlocity_cmt__OpportunityMarginTotal__c,Custom numeric field representing the total margin calculated for the opportunity under Vlocity/CMT context
vlocity_cmt__OpportunityTotal__c,Custom numeric field representing the total value of the opportunity under Vlocity/CMT context
vlocity_cmt__RecurringMarginTotal__c,Custom numeric field representing the total margin calculated for recurring charges under Vlocity/CMT context
vlocity_cmt__RecurringTotal__c,Custom numeric field representing the total recurring charge amount calculated under Vlocity/CMT context
vlocity_cmt__UsageMarginTotal__c,Custom numeric field representing the total margin calculated for usage-based charges under Vlocity/CMT context
vlocity_cmt__ValidationStatus__c,Custom field indicating the current validation status of Vlocity/CMT calculations or processes for the opportunity
